lista,participantes,par,nomes,transcript,mantem,motivo
1,1hh,parC.redondo,Ekolia,e-ko-'lia,s,
1,1jj,parC.redondo,Souplam,sow-pl~a,s,
1,1c,parD.pontudo,Linix,li-niS,s,
1,1d,parD.pontudo,Tembril,t~e-'briw,s,
1,1e,parD.pontudo,Decartesiano,de-kaR-te-zi-'a-no,n,palavra do pb
1,1f,parD.pontudo,Printoco,pr~i-'to-ko,s,
1,1g,parD.pontudo,Ziiimmm,zii~i-m,n,onomatopeia
1,1h,parD.pontudo,comt,k~o-ti,n,outro
1,1i,parD.pontudo,plink,pl~i-ki,n,outro
1,1j,parD.pontudo,Bline,bli-ne,s,
1,1l,parD.pontudo,Jizinja,Zi-'z~i-Za,s,
1,1m,parD.pontudo,Bloumou,blow-'mow,s,
1,1n,parD.pontudo,Litea,li-'te-a,s,
1,1o,parD.pontudo,lurios,lu-'rios,s,
1,1p,parD.pontudo,Plonino,plo-'ni-no,s,
1,1q,parD.pontudo,Venula,ve-'nu-la,s,
1,1r,parD.pontudo,Plinpt,pl'~i-pi-ti,n,outro
1,1s,parD.pontudo,Laci,la-'si,s,
1,1t,parD.pontudo,caifá,kaj-'fa,s,
1,1u,parD.pontudo,Luzintra,lu-'z~i-tra,s,
1,1v,parD.pontudo,Tegelugo,te-Ze-'lu-go,s,
1,1w,parD.pontudo,Kablim,ka-'bl~i,s,
1,1x,parD.pontudo,Plubivita,plu-bi-'vi-ta,s,
1,1aa,parD.pontudo,Plavi,pla-'vi,s,
1,1bb,parD.pontudo,Ixfluri,iS-flu-'ri,s,
1,1cc,parD.pontudo,Tilhar,ti-'LaR,s,
1,1dd,parD.pontudo,Flispi,flis-'pi,s,
1,1ee,parD.pontudo,Luznear,lus-ne-'aR,n,palavra do pb
1,1ff,parD.pontudo,ramatriz,ha-ma-'tris,s,
1,1gg,parD.pontudo,rebri,he-'bri,s,
1,1hh,parD.pontudo,Daledo,da-'le-do,s,
1,1jj,parD.pontudo,Lissoim,li-so-'~i,s,
1,1c,parD.redondo,Espirralto,es-pi-'haw-to,s,
1,1d,parD.redondo,Axvil,aS-'viw,n,outro
1,1e,parD.redondo,Limbático,l~i-'ba-ti-ko,s,
1,1f,parD.redondo,Turquina,tuR-'ki-na,s,
1,1g,parD.redondo,Uuuuuuhhhh,uuuuuuhh,n,onomatopeia
1,1h,parD.redondo,cane,ka-ne,s,
1,1i,parD.redondo,chua,Sua,s,
1,1j,parD.redondo,Rondeira,h~o-'dej-ra,s,
1,1l,parD.redondo,Bigrufe,bi-'gru-fe,s,
1,1m,parD.redondo,Suouso,su-'ow-zo,s,
1,1n,parD.redondo,Trou,trow,s,
1,1o,parD.redondo,vártice,vaR-ti-se,s,
1,1p,parD.redondo,Tomeno,to-'me-no,s,
1,1q,parD.redondo,Ura,u-ra,s,
1,1r,parD.redondo,Achorbora,a-SoR-'bo-ra,s,
1,1s,parD.redondo,iobenza,i-o-'b~e-za,s,
1,1t,parD.redondo,zombo,z~o-bo,s,
1,1u,parD.redondo,Ventrone,v~e-'tro-ne,s,
1,1v,parD.redondo,Assimpre,a-'s~i-pre,s,
1,1w,parD.redondo,Vozcólio,vos-'ko-lio,n,palavra do pb
1,1x,parD.redondo,Quenioperça,ke-ni-o-'peR-sa,s,
