"participantes","par","nomes","transcript"
"1s","parD.redondo","iobenza","i-o-'b~e-za"
"1t","parD.redondo","zombo","z~o-bo"
"1v","parD.redondo","Assimpre","a-'s~i-pre"
"1x","parD.redondo","Quenioperça","ke-ni-o-'peR-sa"
"1aa","parD.redondo","Cliva","kli-va"
"1bb","parD.redondo","Ordo","oR-do"
"1cc","parD.redondo","Geseu","Ze-'zew"
"1dd","parD.redondo","Vispolim","vis-po-'l~i"
"1ee","parD.redondo","Ventiral","v~e-ti-'raw"
"1ff","parD.redondo","duviral","du-vi-'raw"
"1gg","parD.redondo","hevi","e-'vi"
"1hh","parD.redondo","Tatale","ta-'ta-le"
"1c","parE.redondo","Quargo","kwaR-go"
"1d","parE.redondo","Chaval","Sa-'vaw"
"1e","parE.redondo","Balônico","ba-'lo-ni-ko"
"1f","parE.redondo","Pixoca","pi-'So-ka"
"1g","parE.redondo","Zomzom","z~o-z~o"
"1h","parE.redondo","fulô","fu-'lo"
"1i","parE.redondo","plis","plis"
"1j","parE.redondo","Fonda","f~o-da"
"1l","parE.redondo","Prodilque","pro-'diw-ke"
"1m","parE.redondo","Baboba","ba-'bo-ba"
"1n","parE.redondo","Juni","Zu-'ni"
"1o","parE.redondo","conjur","k~o-'ZuR"
"1p","parE.redondo","Ziremitro","zi-re-'mi-tro"
"1q","parE.redondo","Absentiã","a-bi-s~e-ti-'~a"
"1s","parE.redondo","Copalanzio","ko-pa-l~a-'zio"
"1t","parE.redondo","undemol","~u-de-'mow"
"1v","parE.redondo","Jaculito","Za-ku-'li-to"
"1w","parE.redondo","Amagueri","a-ma-ge-'ri"
"1x","parE.redondo","Lifundio","li-f~u-'dio"
"1aa","parE.redondo","Ricula","hi-'ku-la"
"1bb","parE.redondo","Oueda","owe-da"
"1cc","parE.redondo","Bolum","bo-'l~u"
"1dd","parE.redondo","Ponjo","p~o-Zo"
"1ee","parE.redondo","Circundobre","siR-k~u-'do-bre"
"1ff","parE.redondo","bengul","b~e-'guw"
"1gg","parE.redondo","inder","~i-'deR"
"1hh","parE.redondo","Queler","ke-'leR"
"1jj","parE.redondo","Shoumo","Sow-mo"
"1c","parE.pontudo","Deslix","des-liS"
"1d","parE.pontudo","Orix","o-riS"
"1e","parE.pontudo","Tibetático","ti-be-'ta-ti-ko"
"1f","parE.pontudo","Nortuda","noR-'tu-da"
"1g","parE.pontudo","Zinzom","z~i-z~o"
"1h","parE.pontudo","derna","deR-na"
"1i","parE.pontudo","catu","ka-'tu"
"1j","parE.pontudo","Estrimo","es-'tri-mo"
"1l","parE.pontudo","Solxantre","sow-'S~a-tre"
"1m","parE.pontudo","Nonineno","no-ni-'ne-no"
"1n","parE.pontudo","Ovena","o-'ve-na"
"1o","parE.pontudo","laratá","la-ra-'ta"
"1p","parE.pontudo","Amispa","a-'mis-pa"
"1q","parE.pontudo","Caci","ka-'si"
"1r","parE.pontudo","salfa","saw-fa"
"1s","parE.pontudo","varelins","va-re-'l~is"
"1t","parE.pontudo","conculhi","k~o-ku-'Li"
"1v","parE.pontudo","Uliano","u-li-'a-no"
"1w","parE.pontudo","Prema","pre-ma"
"1x","parE.pontudo","Assucomato","a-su-ko-'ma-to"
"1aa","parE.pontudo","Ferila","fe-'ri-la"
"1bb","parE.pontudo","Iziquidin","i-zi-ki-'d~i"
"1cc","parE.pontudo","Tendilho","t~e-'di-Lo"
"1dd","parE.pontudo","Zikem","zi-k~e"
"1ff","parE.pontudo","diática","di-'a-ti-ka"
"1gg","parE.pontudo","pones","po-neS"
"1hh","parE.pontudo","Zoele","zo-'e-le"
"1jj","parE.pontudo","Esplam","es-pl~a"
"1c","parF.pontudo","Formadouro","foR-ma-'dow-ro"
"1d","parF.pontudo","livos","li-vos"
"1h","parF.pontudo","diano","di-'a-no"
"1i","parF.pontudo","pidata","pi-'da-ta"
"1j","parF.pontudo","tricanfe","tri-'k~a-fe"
"1l","parF.pontudo","tripeta","tri-'pe-ta"
"1m","parF.pontudo","grazina","gra-'zi-na"
"1n","parF.pontudo","emitilho","e-mi-'ti-Lo"
"1o","parF.pontudo","pirenu","pi-re-'nu"
"1p","parF.pontudo","blinztu","bl~is-'tu"
"1q","parF.pontudo","creniônis","kre-ni-'o-nis"
"1s","parF.pontudo","trinble","tr~i-ble"
"1t","parF.pontudo","reduodo","he-'du-odo"
"1w","parF.pontudo","patuskle","pa-'tus-kle"
"1x","parF.pontudo","ertento","eR-'t~e-to"
"1aa","parF.pontudo","frituê","fri-'tue"
"1bb","parF.pontudo","verpa","veR-pa"
"1dd","parF.pontudo","capangol","ka-p~a-'gow"
"1ee","parF.pontudo","badi","ba-'di"
"1ff","parF.pontudo","celeca","se-'le-ka"
"1gg","parF.pontudo","firimesis","fi-ri-me-'zis"
"1hh","parF.pontudo","cordam","koR-d~a"
"1jj","parF.pontudo","firimesis","fi-ri-me-'zis"
"1c","parF.redondo","oculpático","o-kuw-'pa-ti-ko"
"1d","parF.redondo","campurio","k~a-pu-'rio"
"1e","parF.redondo","ava","a-va"
"1f","parF.redondo","grena","gre-na"
"1g","parF.redondo","chaor","Sa-'oR"
"1h","parF.redondo","lineiro","li-'nej-ro"
"1i","parF.redondo","samala","sa-'ma-la"
"1j","parF.redondo","zucoltre","zu-'kow-tre"
"1l","parF.redondo","sucula","su-'ku-la"
"1m","parF.redondo","lamarte","la-'maR-te"
"1n","parF.redondo","querane","ke-'ra-ne"
"1o","parF.redondo","quazar","kwa-'zaR"
"1q","parF.redondo","etaminje","e-ta-'m~i-Ze"
"1r","parF.redondo","parcatô","paR-ka-'to"
"1s","parF.redondo","oitosa","oj-'to-za"
"1t","parF.redondo","blocado","blo-'ka-do"
"1w","parF.redondo","blenx","bl~e-S"
"1x","parF.redondo","valícete","va-'li-se-te"
"1aa","parF.redondo","lentrilo","l~e-'tri-lo"
"1bb","parF.redondo","banfe","b~a-fe"
"1cc","parF.redondo","cincunono","s~i-ku-'no-no"
"1dd","parF.redondo","estiróde","es-ti-'ro-de"
"1ee","parF.redondo","cirflu","siR-'flu"
"1ff","parF.redondo","lulete","lu-'le-te"
"1hh","parF.redondo","zuembra","zu-'~e-bra"
"1jj","parF.redondo","trombolenes","tr~o-bo-'le-nes"
"2a","parA.pontudo","Cracote","kra-'ko-te"
"2b","parA.pontudo","Poteco","po-'te-ko"
"2c","parA.pontudo","Gaplasteto","ga-plas-'te-to"
"2d","parA.pontudo","bumbei","b~u-'bej"
"2e","parA.pontudo","pentu pa","p~e-'tu 'pa"
"2f","parA.pontudo","bango","b~a-go"
"2h","parA.pontudo","Camide","ka-'mi-de"
"2j","parA.pontudo","exporpra","eS-'poR-pra"
"2l","parA.pontudo","Danlieo","d~a-li-'e-o"
"2m","parA.pontudo","Bomte","b~o-te"
"2n","parA.pontudo","Criloma","kri-'lo-ma"
"2o","parA.pontudo","Peque","pe-ke"
"2p","parA.pontudo","Quefisseri","ke-fi-se-'ri"
"2q","parA.pontudo","Crápide","kra-pi-de"
"2r","parA.pontudo","Fricodo","fri-'ko-do"
"2s","parA.pontudo","tuluco","tu-'lu-ko"
"2t","parA.pontudo","Capontitas","ka-p~o-'ti-tas"
"2u","parA.pontudo","Tenaco","te-'na-ko"
"2y","parA.pontudo","Bejunto","be-'Z~u-to"
"2dd","parA.pontudo","braca","bra-ka"
"2ee","parA.pontudo","britio","bri-'tio"
"2ff","parA.pontudo","Traca","tra-ka"
"2gg","parA.pontudo","gaban","ga-b~a"
"2hh","parA.pontudo","trisa","tri-za"
"2ii","parA.pontudo","Poglafaco","po-gla-'fa-ko"
"2jj","parA.pontudo","bazitre","ba-'zi-tre"
"2a","parA.redondo","Medongue","me-'d~o-ge"
"2b","parA.redondo","Pinonha","pi-'no-Na"
"2c","parA.redondo","Cotrederado","ko-tre-de-'ra-do"
"2d","parA.redondo","fogolo","fo-'go-lo"
"2f","parA.redondo","falora","fa-'lo-ra"
"2g","parA.redondo","Linguie","l~i-'gi-e"
"2h","parA.redondo","Goluli","go-lu-'li"
"2i","parA.redondo","Bulerim","bu-le-'r~i"
"2j","parA.redondo","expomblo","eS-'p~o-blo"
"2l","parA.redondo","Amiea","a-mi-'e-a"
"2m","parA.redondo","Prinido","pri-'ni-do"
"2n","parA.redondo","Minoma","mi-'no-ma"
"2o","parA.redondo","Monsco","m~os-ko"
"2p","parA.redondo","Fagavora","fa-ga-'vo-ra"
"2q","parA.redondo","Viel","vi-'ew"
"2r","parA.redondo","Miuquê","miw-'ke"
"2s","parA.redondo","runca","h~u-ka"
"2t","parA.redondo","nufufu","nu-fu-'fu"
"2u","parA.redondo","Coloto","ko-'lo-to"
"2w","parA.redondo","Crequelec","kre-ke-'le-c"
"2y","parA.redondo","Polincas","po-'l~i-kas"
"2aa","parA.redondo","ovaluna","o-va-'lu-na"
"2bb","parA.redondo","Crocalador","kro-ka-la-'doR"
"2dd","parA.redondo","lombe","l~o-be"
"2ee","parA.redondo","univo","u-'ni-vo"
"2ff","parA.redondo","Melbi","mew-'bi"
"2gg","parA.redondo","incobrio","~i-ko-'brio"
"2hh","parA.redondo","omuna","o-'mu-na"
"2ii","parA.redondo","Teragolhito","te-ra-go-'Li-to"
"2jj","parA.redondo","anluna","~a-'lu-na"
"2a","parB.pontudo","Bridoquê","bri-do-'ke"
"2b","parB.pontudo","Ondonto","~o-'d~o-to"
"2c","parB.pontudo","Asprado","as-'pra-do"
"2f","parB.pontudo","meba","me-ba"
"2g","parB.pontudo","Tracuia","tra-'kuja"
"2h","parB.pontudo","Kolumei","ko-lu-'mej"
"2i","parB.pontudo","Olandriu","o-l~a-'driw"
"2j","parB.pontudo","guzizata","gu-zi-'za-ta"
"2l","parB.pontudo","Siul","si'uw"
"2m","parB.pontudo","Friste","fris-te"
"2n","parB.pontudo","Guritégo","gu-ri-'te-go"
"2o","parB.pontudo","Ligueligue","li-ge-'li-ge"
"2p","parB.pontudo","Susuçaba","su-zu-'sa-ba"
"2q","parB.pontudo","Crisite","kri-'zi-te"
"2r","parB.pontudo","Quizá","ki-'za"
"2s","parB.pontudo","lestasa","les-'ta-za"
"2t","parB.pontudo","Mimaco","mi-'ma-ko"
"2u","parB.pontudo","Frizito","fri-'zi-to"
"2w","parB.pontudo","Trincele","tr~i-'se-le"
"2y","parB.pontudo","Tricojom","tri-'ko-Z~o"
"2aa","parB.pontudo","zupi","zu-'pi"
"2bb","parB.pontudo","Réliz","he-lis"
"2dd","parB.pontudo","zizizi","zi-zi-'zi"
"2ee","parB.pontudo","respe","hes-pe"
"2gg","parB.pontudo","conda","k~o-da"
"2hh","parB.pontudo","minono","mi-'no-no"
"2ii","parB.pontudo","Vomarim","vo-ma-'r~i"
"2jj","parB.pontudo","zimbaska","z~i-'bas-ka"
"2a","parB.redondo","Cemptróquio","s~e-pi-'tro-kio"
"2b","parB.redondo","Firculito","fiR-ku-'li-to"
"2c","parB.redondo","Gule","gu-le"
"2f","parB.redondo","xírena","Si-re-na"
"2g","parB.redondo","Bleu","blew"
"2h","parB.redondo","Vom","v~o"
"2i","parB.redondo","Qaguikê","qa-gi-'ke"
"2j","parB.redondo","xitaca","Si-'ta-ka"
"2l","parB.redondo","Azuos","a-'zu-os"
"2m","parB.redondo","Solite","so-'li-te"
"2n","parB.redondo","Zotrúia","zo-'tru-ia"
"2o","parB.redondo","Marto","maR-to"
"2p","parB.redondo","Marameru","ma-ra-me-'ru"
"2q","parB.redondo","Lambelgo","l~a-'bew-go"
"2r","parB.redondo","Blonte","bl~o-te"
"2s","parB.redondo","gualum","gwa-'l~u"
"2t","parB.redondo","Cofibune","ko-fi-'bu-ne"
"2u","parB.redondo","Gatarca","ga-'taR-ka"
"2w","parB.redondo","Tanani","ta-na-'ni"
"2y","parB.redondo","Colivus","ko-li-'vus"
"2aa","parB.redondo","colunu","ko-lu-'nu"
"2dd","parB.redondo","ombom","~o-b~o"
"2ee","parB.redondo","jinomini","Zi-no-mi-'ni"
"2gg","parB.redondo","azonzô","a-z~o-'zo"
"2hh","parB.redondo","otime","o-'ti-me"
"2ii","parB.redondo","Prareslofe","pra-res-'lo-fe"
"2jj","parB.redondo","pasfuca","pas-'fu-ka"
"2a","parC.pontudo","Sucuiute","su-ku-'iw-te"
"2b","parC.pontudo","Larito","la-'ri-to"
"2d","parC.pontudo","vreior","vrej-'oR"
"2e","parC.pontudo","patuta","pa-'tu-ta"
"2f","parC.pontudo","esfríce","es-'fri-se"
"2g","parC.pontudo","Tative","ta-'ti-ve"
"2h","parC.pontudo","Faboz","fa-'bos"
"2i","parC.pontudo","Hizás","i-'zas"
"2j","parC.pontudo","vixega","vi-'Se-ga"
"2m","parC.pontudo","Atele","a-'te-le"
"2n","parC.pontudo","Furúio","fu-'ru-io"
"2o","parC.pontudo","Bron","br~o"
"2p","parC.pontudo","Papepona","pa-pe-'po-na"
"2q","parC.pontudo","Chápide","Sa-pi-de"
"2r","parC.pontudo","Muntatê","m~u-ta-'te"
"2s","parC.pontudo","pinjas","p~i-Zas"
"2t","parC.pontudo","Cocemebo","ko-se-'me-bo"
"2u","parC.pontudo","Quelato","ke-'la-to"
"2w","parC.pontudo","Hiupa","iw-pa"
"2y","parC.pontudo","Maba","ma-ba"
"2aa","parC.pontudo","cavitri","ka-vi-'tri"
"2bb","parC.pontudo","Picauí","pi-kaw-'i"
"2dd","parC.pontudo","guta","gu-ta"
"2ee","parC.pontudo","tisocu","ti-zo-'ku"
"2gg","parC.pontudo","mirambo","mi-'r~a-bo"
"2hh","parC.pontudo","trariti","tra-ri-'ti"
"2ii","parC.pontudo","Fateloze","fa-te-'lo-ze"
"2jj","parC.pontudo","ximbusqui","S~i-bus-'ki"
"2a","parC.redondo","Pendoguio","p~e-do-'gio"
"2b","parC.redondo","Boejo","bo-'e-Zo"
"2c","parC.redondo","Loioja","loj-'o-Za"
"2d","parC.redondo","nume","nu-me"
"2f","parC.redondo","holobato","o-lo-'ba-to"
"2h","parC.redondo","Gajião","ga-Zi-'~aw"
"2i","parC.redondo","Guver","gu-'veR"
"2j","parC.redondo","patamolo","pa-ta-'mo-lo"
"2m","parC.redondo","Lomiste","lo-'mis-te"
"2n","parC.redondo","Burulo","bu-'ru-lo"
"2o","parC.redondo","Sauco","saw-ko"
"2p","parC.redondo","Dorrefifo","do-he-'fi-fo"
"2q","parC.redondo","Blocal","blo-'kaw"
"2r","parC.redondo","Clepô","kle-'po"
"2s","parC.redondo","salu","sa-'lu"
"2t","parC.redondo","Dilasefo","di-la-'ze-fo"
"2u","parC.redondo","Bolata","bo-'la-ta"
"2y","parC.redondo","Dilesques","di-'les-kes"
"2aa","parC.redondo","corlimu","koR-li-'mu"
"2bb","parC.redondo","Dinomon","di-'no-m~o"
"2dd","parC.redondo","conse","k~o-se"
"2ee","parC.redondo","faliso","fa-'li-zo"
"2ff","parC.redondo","Conolu","ko-no-'lu"
"2gg","parC.redondo","ochondro","o-'S~o-dro"
"2hh","parC.redondo","polamo","po-'la-mo"
"2ii","parC.redondo","Folmarvo","fow-'maR-vo"
"2jj","parC.redondo","nazimba","na-'z~i-ba"
"2a","parD.pontudo","Laduspo","la-'dus-po"
"2b","parD.pontudo","Cipite","si-'pi-te"
"2c","parD.pontudo","Plunamo","plu-'na-mo"
"2d","parD.pontudo","istici","is-ti-'si"
"2e","parD.pontudo","zium","zi-'~u"
"2f","parD.pontudo","plino","pli-no"
"2h","parD.pontudo","Dispa","dis-pa"
"2i","parD.pontudo","Xitono","Si-'to-no"
"2j","parD.pontudo","estadina","es-ta-'di-na"
"2l","parD.pontudo","Finie","fi-'ni-e"
"2n","parD.pontudo","Tábix","ta-biS"
"2o","parD.pontudo","Mirca","miR-ka"
"2p","parD.pontudo","Corcorena","koR-ko-'re-na"
"2q","parD.pontudo","Prosal","pro-'zaw"
"2r","parD.pontudo","Chatla","Sa-tla"
"2s","parD.pontudo","iulta","i-'uw-ta"
"2t","parD.pontudo","piselu","pi-ze-'lu"
"2u","parD.pontudo","Fritoca","fri-'to-ka"
"2y","parD.pontudo","Narcom","naR-k~o"
"2aa","parD.pontudo","brino","bri-no"
"2bb","parD.pontudo","Luzeta","lu-'ze-ta"
"2dd","parD.pontudo","fisco","fis-ko"
"2ee","parD.pontudo","tirosa","ti-'ro-za"
"2gg","parD.pontudo","tossolar","to-so-'laR"
"2hh","parD.pontudo","estolico","es-to-'li-ko"
"2ii","parD.pontudo","Fribelaso","fri-be-'la-zo"
"2jj","parD.pontudo","ritoze","hi-'to-ze"
"2a","parD.redondo","Varingo","va-'r~i-go"
"2b","parD.redondo","Tortonho","toR-'to-No"
"2c","parD.redondo","Serequecoia","se-re-ke-'koj-a"
"2d","parD.redondo","xúan","Su-~a"
"2e","parD.redondo","vlau","vlaw"
"2f","parD.redondo","carágura","ka-'ra-gu-ra"
"2g","parD.redondo","Vraoum","vra-'~ow"
"2h","parD.redondo","Baio","baj-o"
"2j","parD.redondo","unimelo","u-ni-'me-lo"
"2l","parD.redondo","Ataro","a-'ta-ro"
"2n","parD.redondo","Janix","Za-niS"
"2o","parD.redondo","Entiu","~e-'tiw"
"2p","parD.redondo","Pitulana","pi-tu-'la-na"
"2q","parD.redondo","Enol","e-'now"
"2r","parD.redondo","Ispamba","is-'p~a-ba"
"2s","parD.redondo","caru","ka-'ru"
"2t","parD.redondo","Rocará","ho-ka-'ra"
"2u","parD.redondo","Caloto","ka-'lo-to"
"2y","parD.redondo","Marlumpa","maR-'l~u-pa"
"2aa","parD.redondo","tufono","tu-'fo-no"
"2bb","parD.redondo","Tunil","tu-'niw"
"2dd","parD.redondo","bolum","bo-'l~u"
"2ee","parD.redondo","reman","he-m~a"
"2ff","parD.redondo","Omolu","o-mo-'lu"
"2gg","parD.redondo","rogínuo","ho-'Zi-nu-o"
"2hh","parD.redondo","sinuana","si-nu-'a-na"
"2ii","parD.redondo","Taripeso","ta-ri-'pe-zo"
"2jj","parD.redondo","druma","dru-ma"
